"State","BankState","ApprovalFY","Term","NoEmp","NewExist","CreateJob","RetainedJob","UrbanRural","RevLineCr","DisbursementGross","MIS_Status","GrAppv","SBA_Appv","WhichCompany","yearsAfterAprv"
"Northeast","Southeast",1997,60,4,"NotNew",0,0,"Undefined","0",20000,"P I F",20000,10000,"45",25
"Northeast","Northeast",1998,31,7,"Undefined",0,0,"Undefined","0",75000,"P I F",75000,37500,"42",24
"Pacific West","Pacific West",2003,36,16,"NotNew",0,0,"Undefined","Y",60000,"P I F",60000,30000,"44",19
"Pacific West","Plains",1997,96,3,"NotNew",0,0,"Undefined","0",45000,"P I F",45000,33750,"00",25
"Pacific West","Pacific West",2006,84,1,"New",0,1,"Urban","0",5000,"P I F",5000,4250,"51",16
"Northeast","Northeast",2004,84,1,"NotNew",0,0,"Urban","N",50000,"P I F",50000,25000,"23",18
"Pacific West","Plains",2006,18,5,"NotNew",1,6,"Urban","Y",77672,"CHGOFF",35000,17500,"56",16
"Pacific West","Pacific West",1997,240,15,"NotNew",0,7,"Undefined","N",399000,"P I F",399000,399000,"42",25
"Southeast","Plains",2004,60,14,"NotNew",0,0,"Urban","Y",172594,"P I F",1e+05,50000,"23",18
"Southeast","Plains",2004,60,5,"New",0,0,"Urban","N",250000,"P I F",250000,125000,"56",18
"Northeast","Northeast",2004,84,3,"New",0,0,"Urban","Y",10500,"P I F",10500,5250,"54",18
"Pacific West","Plains",1997,132,20,"NotNew",0,0,"Undefined","N",3e+05,"P I F",3e+05,225000,"00",25
"Northeast","Northeast",1997,84,4,"NotNew",0,0,"Undefined","0",50000,"P I F",50000,40000,"00",25
"Northeast","Northeast",2004,60,1,"NotNew",0,0,"Rural","Y",48361,"P I F",25000,12500,"23",18
"Southeast","Southeast",2004,84,2,"NotNew",0,0,"Urban","0",85000,"P I F",50000,25000,"42",18
"Northeast","Northeast",2006,84,4,"New",0,0,"Rural","N",185000,"P I F",185000,138750,"54",16
"Plains","Pacific West",2006,120,4,"NotNew",0,4,"Urban","0",775000,"P I F",250000,581250,"44",16
"Pacific West","Pacific West",1997,120,30,"NotNew",0,0,"Undefined","N",5e+05,"P I F",5e+05,375000,"81",25
"Southeast","Southeast",2004,84,8,"NotNew",0,0,"Urban","Y",196593,"P I F",75000,37500,"54",18
"Southeast","Southeast",2004,84,1,"New",0,0,"Rural","Y",10000,"P I F",10000,5000,"56",18
"Southeast","Southeast",2004,84,1,"NotNew",0,0,"Rural","Y",86284,"P I F",50000,25000,"42",18
"Plains","Plains",2006,60,9,"NotNew",0,10,"Urban","0",99800,"P I F",99800,49900,"62",16
"Southeast","Southeast",2004,64,2,"NotNew",0,0,"Urban","N",50000,"CHGOFF",50000,25000,"54",18
"Midwest","Midwest",1997,84,2,"New",0,0,"Undefined","N",85000,"P I F",85000,68000,"00",25
"Plains","Midwest",1997,36,4,"New",0,0,"Undefined","0",350000,"CHGOFF",350000,262500,"54",25
"Midwest","Northeast",2004,83,19,"NotNew",0,0,"Rural","Y",231249,"P I F",185000,92500,"23",18
"Northeast","Northeast",2004,48,30,"NotNew",0,0,"Rural","Y",450890,"P I F",2e+05,1e+05,"81",18
"Pacific West","Southeast",2004,27,4,"NotNew",0,0,"Urban","N",50000,"CHGOFF",50000,25000,"42",18
"Pacific West","Northeast",2004,84,1,"NotNew",0,0,"Urban","N",50000,"P I F",50000,25000,"42",18
"AK","AK",1997,120,6,"NotNew",0,0,"Undefined","N",140000,"P I F",140000,105000,"00",25
"Pacific West","Plains",1997,59,6,"New",0,0,"Undefined","N",165000,"CHGOFF",165000,123750,"00",25
"Northeast","Northeast",2004,60,10,"NotNew",0,0,"Rural","Y",21594,"P I F",20000,10000,"54",18
"Midwest","Midwest",1997,60,3,"New",0,0,"Undefined","N",75000,"P I F",75000,60000,"00",25
"Northeast","Plains",2006,57,1,"NotNew",1,1,"Urban","Y",40607,"CHGOFF",25000,12500,"54",16
"Northeast","Northeast",2004,12,5,"NotNew",0,0,"Urban","N",6000,"P I F",6000,3000,"44",18
"Pacific West","Pacific West",2004,84,2,"New",0,0,"Urban","Y",69693,"P I F",50000,25000,"62",18
"Northeast","Northeast",2006,87,1,"NotNew",1,1,"Urban","0",80000,"P I F",80000,40000,"32",16
"Plains","Plains",1997,89,1,"New",0,0,"Undefined","N",15000,"P I F",15000,12000,"45",25
"Midwest","Midwest",1997,120,8,"New",0,0,"Undefined","0",380000,"P I F",380000,285000,"72",25
"Midwest","Northeast",2004,96,2,"New",0,0,"Urban","N",35000,"P I F",35000,17500,"71",18
"Pacific West","Pacific West",2006,84,3,"NotNew",3,3,"Urban","0",138000,"P I F",138000,69000,"81",16
"Pacific West","Pacific West",2004,84,5,"New",0,0,"Urban","Y",462199,"P I F",250000,125000,"48",18
"Midwest","Midwest",2004,60,3,"NotNew",0,0,"Urban","Y",99490,"P I F",35000,17500,"45",18
"Midwest","Midwest",1997,84,4,"NotNew",0,0,"Undefined","N",1e+05,"P I F",1e+05,80000,"62",25
"Pacific West","Pacific West",1997,84,15,"NotNew",0,0,"Undefined","0",591000,"P I F",6e+05,450000,"00",25
"Southeast","Southeast",2004,84,1,"NotNew",0,0,"Urban","Y",55528,"P I F",50000,25000,"62",18
"Pacific West","Southeast",2004,68,4,"New",0,0,"Rural","Y",10000,"CHGOFF",10000,5000,"72",18
"Midwest","Midwest",1997,84,20,"NotNew",0,0,"Undefined","N",85000,"P I F",85000,68000,"00",25
"Southeast","Southeast",2004,84,1,"NotNew",0,0,"Urban","N",17267,"P I F",19000,9500,"81",18
"Midwest","Midwest",1997,60,18,"New",0,0,"Undefined","Y",52914,"P I F",40000,20000,"00",25
"Pacific West","Pacific West",2004,84,2,"New",0,0,"Urban","Y",124910,"P I F",75000,37500,"23",18
"Southeast","Southeast",1997,108,10,"Undefined",0,0,"Undefined","N",386500,"P I F",386500,289875,"00",25
"Pacific West","Plains",2006,60,8,"NotNew",0,8,"Rural","Y",358542,"P I F",90000,45000,"44",16
"Plains","Plains",1997,69,1,"New",0,0,"Undefined","0",125000,"CHGOFF",125000,93750,"00",25
"Pacific West","Southeast",2004,84,1,"NotNew",0,0,"Urban","Y",13000,"P I F",10000,5000,"48",18
"Northeast","Northeast",2004,84,1,"NotNew",0,0,"Urban","N",10000,"P I F",10000,5000,"54",18
"Midwest","Southeast",2004,84,1,"New",0,0,"Rural","Y",10000,"P I F",10000,5000,"54",18
"Pacific West","Southeast",2004,84,2,"New",0,0,"Urban","Y",10000,"P I F",10000,5000,"31",18
"Plains","Plains",1997,84,9,"NotNew",0,0,"Undefined","0",7e+05,"P I F",7e+05,525000,"44",25
"Pacific West","Pacific West",2004,84,13,"NotNew",0,0,"Urban","Y",50000,"P I F",50000,25000,"48",18
"Plains","Plains",1997,164,5,"NotNew",0,0,"Undefined","N",210000,"P I F",210000,157500,"00",25
"Northeast","Northeast",1997,84,10,"New",0,0,"Undefined","N",1e+05,"P I F",1e+05,80000,"00",25
"Southeast","Southeast",2004,25,4,"NotNew",0,0,"Urban","N",30000,"CHGOFF",30000,15000,"71",18
"Midwest","Northeast",2004,19,10,"NotNew",0,0,"Urban","N",25000,"CHGOFF",25000,12500,"23",18
