"","Name","State","Bank","BankState","NAICS","ApprovalFY","Term","NoEmp","NewExist","CreateJob","RetainedJob","UrbanRural","RevLineCr","DisbursementGross","BalanceGross","MIS_Status","GrAppv","SBA_Appv"
"1","Wildflower, Inc.","MA","BANK OF AMERICA NATL ASSOC","NC",453110,"1997",60,4,1,0,0,0,"0","$20,000.00 ","$0.00 ","P I F","$20,000.00 ","$10,000.00 "
"2","Global Neckwear Marketing, Inc","MA","BANK OF AMERICA NATL ASSOC","RI",422320,"1998",31,7,0,0,0,0,"0","$75,000.00 ","$0.00 ","P I F","$75,000.00 ","$37,500.00 "
"3","Strouk Group, Inc.","CA","CALIFORNIA BANK & TRUST","CA",445299,"2003",36,16,1,0,0,0,"Y","$60,000.00 ","$0.00 ","P I F","$60,000.00 ","$30,000.00 "
"4","PATRICIA A. MURPHY, MD","CA","WELLS FARGO BANK NATL ASSOC","SD",0,"1997",96,3,1,0,0,0,"0","$45,000.00 ","$0.00 ","P I F","$45,000.00 ","$33,750.00 "
"5","BALL-N-CHAIN PRODUCTIONS","CA","BBCN BANK","CA",512199,"2006",84,1,2,0,1,1,"0","$5,000.00 ","$0.00 ","P I F","$5,000.00 ","$4,250.00 "
"6","Paramount Cleaning Systems","MA","TD BANK, NATIONAL ASSOCIATION","DE",238990,"2004",84,1,1,0,0,1,"N","$50,000.00 ","$0.00 ","P I F","$50,000.00 ","$25,000.00 "
"7","COYOTE DEVELOPMENT CORP","NV","WELLS FARGO BANK NATL ASSOC","SD",561730,"2006",18,5,1,1,6,1,"Y","$77,672.00 ","$0.00 ","CHGOFF","$35,000.00 ","$17,500.00 "
"8","WHEELER SEAFOOODS, INC.","WA","EVERGREEN BUSINESS CAPITAL","WA",422460,"1997",240,15,1,8,7,0,"N","$399,000.00 ","$0.00 ","P I F","$399,000.00 ","$399,000.00 "
"9","R & S Marble Designs, Inc.","FL","WELLS FARGO BANK NATL ASSOC","SD",238990,"2004",60,14,1,0,0,1,"Y","$172,594.00 ","$0.00 ","P I F","$100,000.00 ","$50,000.00 "
"10","Anesthesia Healthcare Partners","GA","WELLS FARGO BANK NATL ASSOC","SD",561499,"2004",60,5,2,0,0,1,"N","$250,000.00 ","$0.00 ","P I F","$250,000.00 ","$125,000.00 "
"11","Jay R. Mason dba Architectural","MA","TD BANK, NATIONAL ASSOCIATION","DE",541310,"2004",84,3,2,0,0,1,"Y","$10,500.00 ","$0.00 ","P I F","$10,500.00 ","$5,250.00 "
"12","SALMON OIL COMPANY, A CORPORAT","ID","WELLS FARGO BANK NATL ASSOC","SD",0,"1997",132,20,1,0,0,0,"N","$300,000.00 ","$0.00 ","P I F","$300,000.00 ","$225,000.00 "
"13","MIZON TRADING LTD.","NJ","BNB HANA BANK NATL ASSOC","NJ",0,"1997",84,4,1,0,0,0,"0","$50,000.00 ","$0.00 ","P I F","$50,000.00 ","$40,000.00 "
"14","Joseph P. Holland, Jr.","PA","UNIVEST BANK AND TRUST CO.","PA",238990,"2004",60,1,1,0,0,2,"Y","$48,361.00 ","$0.00 ","P I F","$25,000.00 ","$12,500.00 "
"15","2 K RENOVATIONS, INC.","FL","BANK OF AMERICA NATL ASSOC","NC",423390,"2004",84,2,1,0,0,1,"T","$85,000.00 ","$0.00 ","P I F","$50,000.00 ","$25,000.00 "
"16","THREE OAKS EQUINE PLLC","VA","FIRST CAPITAL BANK","VA",541940,"2006",84,4,2,0,0,2,"N","$185,000.00 ","$0.00 ","P I F","$185,000.00 ","$138,750.00 "
"17","QUZO LIQUORS","CO","BBCN BANK","CA",445310,"2006",120,4,1,0,4,1,"0","$775,000.00 ","$0.00 ","P I F","$775,000.00 ","$581,250.00 "
"18","AJ-USA","CA","PACIFIC WESTERN BANK","CA",811111,"1997",120,30,1,0,0,0,"N","$500,000.00 ","$0.00 ","P I F","$500,000.00 ","$375,000.00 "
"19","Cella & Associates, Inc.","FL","BANK OF AMERICA NATL ASSOC","NC",541330,"2004",84,8,1,0,0,1,"Y","$196,593.00 ","$0.00 ","P I F","$75,000.00 ","$37,500.00 "
"20","Andrew M. Eager dba Eager Serv","FL","BANK OF AMERICA NATL ASSOC","NC",561499,"2004",84,1,2,0,0,2,"Y","$10,000.00 ","$0.00 ","P I F","$10,000.00 ","$5,000.00 "
"21","Light Solutions, Inc.","FL","BANK OF AMERICA NATL ASSOC","NC",423610,"2004",84,1,1,0,0,2,"Y","$86,284.00 ","$0.00 ","P I F","$50,000.00 ","$25,000.00 "
"22","ROMERO CHIROPRACTIC SERVICES P","OK","AVB BANK","OK",621310,"2006",60,9,1,10,10,1,"0","$99,800.00 ","$0.00 ","P I F","$99,800.00 ","$49,900.00 "
"23","El Conuco Tropical, LLC","FL","BANK OF AMERICA NATL ASSOC","NC",541611,"2004",64,2,1,0,0,1,"N","$50,000.00 ","$0.00 ","CHGOFF","$50,000.00 ","$25,000.00 "
"24","CREATIVE CONCRETE & CONSTRUCTI","MI","UNITED BANK OF MICHIGAN","MI",0,"1997",84,2,2,0,0,0,"N","$85,000.00 ","$0.00 ","P I F","$85,000.00 ","$68,000.00 "
"25","INFOSTAR CORPORATION","TX","JPMORGAN CHASE BANK NATL ASSOC","IL",541512,"1997",36,4,2,0,0,0,"0","$350,000.00 ","$0.00 ","CHGOFF","$350,000.00 ","$262,500.00 "
"26","McNichols Roofing, Inc.","OH","PNC BANK, NATIONAL ASSOCIATION","DE",238160,"2004",83,19,1,0,0,2,"Y","$231,249.00 ","$0.00 ","P I F","$185,000.00 ","$92,500.00 "
"27","Northeast Collision, Inc.","NY","MANUFACTURERS & TRADERS TR CO","NY",811121,"2004",48,30,1,0,0,2,"Y","$450,890.00 ","$0.00 ","P I F","$200,000.00 ","$100,000.00 "
"28","RED DART, INC.","CA","BANK OF AMERICA NATL ASSOC","NC",424310,"2004",27,4,1,0,0,1,"N","$50,000.00 ","$0.00 ","CHGOFF","$50,000.00 ","$25,000.00 "
"29","David B Collinwood Dba Collinw","CA","CAPITAL ONE NATL ASSOC","VA",423310,"2004",84,1,1,0,0,1,"N","$50,000.00 ","$0.00 ","P I F","$50,000.00 ","$25,000.00 "
"30","TERRA SURVEYS LLC","AK","WELLS FARGO BANK NATL ASSOC","AK",0,"1997",120,6,1,0,0,0,"N","$140,000.00 ","$0.00 ","P I F","$140,000.00 ","$105,000.00 "
"31","THE PLANT MILL","ID","WELLS FARGO BANK NATL ASSOC","SD",0,"1997",59,6,2,0,0,0,"N","$165,000.00 ","$0.00 ","CHGOFF","$165,000.00 ","$123,750.00 "
"32","Mt. Pleasant Animal Hospital,","PA","PNC BANK, NATIONAL ASSOCIATION","PA",541940,"2004",60,10,1,0,0,2,"Y","$21,594.00 ","$0.00 ","P I F","$20,000.00 ","$10,000.00 "
"33","JMH PLANTS, INC.","IL","BMO HARRIS BK NATL ASSOC","IL",0,"1997",60,3,2,0,0,0,"N","$75,000.00 ","$0.00 ","P I F","$75,000.00 ","$60,000.00 "
"34","SPECTRA TECHNOLOGY SOLUTIONS I","NY","WELLS FARGO BANK NATL ASSOC","SD",541513,"2006",57,1,1,1,1,1,"Y","$40,607.00 ","$0.00 ","CHGOFF","$25,000.00 ","$12,500.00 "
"35","COMPUTER AUTO & TRUCK SALES, I","NH","TD BANK, NATIONAL ASSOCIATION","DE",441120,"2004",12,5,1,0,0,1,"N","$6,000.00 ","$0.00 ","P I F","$6,000.00 ","$3,000.00 "
"36","The Focus Center, P.C.","UT","ZIONS FIRST NATIONAL BANK","UT",621112,"2004",84,2,2,0,0,1,"Y","$69,693.00 ","$0.00 ","P I F","$50,000.00 ","$25,000.00 "
"37","JOHN H LEES","PA","FIRST COMMONWEALTH BANK","PA",321999,"2006",87,1,1,1,1,1,"0","$80,000.00 ","$0.00 ","P I F","$80,000.00 ","$40,000.00 "
"38","LEAVITT, ROBIN S.","NE","GREAT WESTERN BANK","NE",451120,"1997",89,1,2,0,0,0,"N","$15,000.00 ","$0.00 ","P I F","$15,000.00 ","$12,000.00 "
"39","KELLY'S PUB OF MARSHALL, INC.","MI","BANK OF AMERICA NATL ASSOC","MI",722410,"1997",120,8,2,0,0,0,"0","$380,000.00 ","$0.00 ","P I F","$380,000.00 ","$285,000.00 "
"40","Extend, Inc.","IL","PNC BANK, NATIONAL ASSOCIATION","DE",711120,"2004",96,2,2,0,0,1,"N","$35,000.00 ","$0.00 ","P I F","$35,000.00 ","$17,500.00 "
"41","SOON OK CHOI","CA","BBCN BANK","CA",812310,"2006",84,3,1,3,3,1,"0","$138,000.00 ","$0.00 ","P I F","$138,000.00 ","$69,000.00 "
"42","D & H, LLC","UT","ZIONS FIRST NATIONAL BANK","UT",484230,"2004",84,5,2,0,0,1,"Y","$462,199.00 ","$0.00 ","P I F","$250,000.00 ","$125,000.00 "
"43","Newpaper Subscription Services","IL","PNC BANK, NATIONAL ASSOCIATION","IL",451212,"2004",60,3,1,0,0,1,"Y","$99,490.00 ","$0.00 ","P I F","$35,000.00 ","$17,500.00 "
