,artist_name,track_name,popularity,duration_s,key,mode,tempo,valence,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,music_genre
0,Fatboy Slim,Sunset (Bird Of Prey) - The Aston Shuffle Remix Edit,21.0,214.0,B,Minor,120.00200000000001,0.454,0.00362,0.713,0.824,0.492,0.311,-7.475,0.0409,Electronic
1,UNKLE,Lonely Soul,51.0,533.013,A,Minor,122.04379689714429,0.123,0.0776,0.475,0.591,0.0549,0.109,-7.854,0.0374,Electronic
2,!!!,Our Love (U Can Get),43.0,225.25648657949947,C,Major,119.978,0.962,0.169,0.685,0.909,0.000663,0.20531813733099277,-7.627,0.043,Electronic
3,Thievery Corporation,Bario Alto,30.0,233.893,A,Minor,113.475,0.771,0.0579999999999999,0.815,0.509,0.11589318586617861,0.0954,-12.991,0.0486,Electronic
4,Tiga,Bugatti (feat. Pusha T) - Jauz Remix,36.0,330.0,A,Major,127.99600000000001,0.487,0.122,0.878,0.921,0.0218,0.258,-5.162,0.132,Electronic
5,QUIX,Hero (feat. David Shane),50.0,232.275,C#,Major,124.992,0.113,0.0049,0.766,0.839,0.0108,0.114,-5.123,0.0409999999999999,Electronic
6,Apashe,Do It feat. Black Prez,51.0,219.2,B,Major,75.063,0.363,0.00988,0.702,0.807,0.00971,0.111,-2.688,0.206,Electronic
7,Claes Rosen,Starlight - Blood Groove & Kikis Remix,29.0,406.605,C,Major,124.014,0.776,0.000266,0.866,0.697,0.0401,0.0528,-7.201,0.067,Electronic
8,Flux Pavilion,Feels Good,26.0,228.857,E,Minor,125.005,0.253,0.00413,0.482,0.758,0.0904,0.2,-3.333,0.057,Electronic
9,BROHUG,Knuckles,34.0,186.24,E,Major,125.001,0.316,0.00591,0.644,0.927,0.448,0.363,-4.651,0.0508,Electronic
10,A-Trak,"Ride For Me (with Young Thug, feat. 24hrs)",42.0,241.173,E,Minor,125.95071612518888,0.573,0.0797,0.83,0.768,0.0,0.139,-3.552,0.229,Electronic
11,Air,Don't Be Light,35.0,378.84,E,Major,168.422,0.343,0.0688,0.517,0.696,0.11698276507616984,0.122,-7.794,0.0521,Electronic
12,Destructo,All Nite (feat. E-40 & Too $hort),27.0,204.016,E,Minor,126.035,0.43,0.00885,0.897,0.762,0.016,0.0824,-4.48,0.0625,Electronic
14,DAVI,Two Suns In The Sky - Original Mix,39.0,445.723,C,Major,120.961,0.353,0.0134,0.808,0.451,0.14126144304557162,0.106,-12.013,0.0714,Electronic
15,Riot Ten,Missing You (feat. blvkkhvrt.),36.0,240.009,C,Major,139.997,0.104,0.055,0.651,0.418,8.56e-05,0.103,-9.306,0.0352,Electronic
16,Adventure Club,Unleash (Life In Color Anthem 2014) [feat. Zak Waters],26.0,331.0,C#,Minor,127.979,0.342,0.0044399999999999,0.701,0.607,4.09e-05,0.0433,-4.514,0.0547,Electronic
17,Kasabian,Fire,66.0,252.28,A#,Major,117.031,0.179,0.0874,0.525,0.741,0.147,0.117,-5.643,0.0311,Electronic
18,Daft Punk,Harder Better Faster Stronger,70.0,224.693,F#,Minor,123.475,0.692,0.0427,0.817,0.716,0.00263,0.358,-8.898,0.144,Electronic
19,Paul Oakenfold,Cafe Del Mar - Radio Edit,39.0,270.965,C,Major,132.009,0.153,0.00442,0.509,0.904,0.0975209422111947,0.653,-7.045,0.0405,Electronic
20,!!!,Californiyeah,36.0,274.013,A,Minor,120.03,0.557,0.0249,0.865,0.65,0.000391,0.102,-8.025,0.101,Electronic
21,empty_field,Young & Dangerous,44.0,265.6,G,Minor,122.46350919055368,0.278,0.00584,0.667,0.969,0.112,0.676,-0.714,0.106,Electronic
22,David August,You Got to Love Me,47.0,359.166,G,Minor,113.005,0.187,0.137,0.766,0.396,0.0436,0.052,-12.673,0.0406,Electronic
23,Cut Copy,Strangers In The Wind,45.0,283.773,E,Minor,119.949,0.541,0.0733,0.565,0.779,2.92e-05,0.263,-3.891,0.0412,Electronic
24,Kaivon,Your Eye,56.0,240.713,C#,Major,127.947,0.132,0.0616,0.387,0.758,2.26e-05,0.118,-2.794,0.0578,Electronic
25,Be Svendsen,Drop the Gun - Radio Edit,42.0,208.745,A#,Minor,115.064,0.66,0.0136,0.878,0.557,0.235,0.0766,-10.992,0.0566,Electronic
26,LCD Soundsystem,black screen,39.0,262.8001217940876,G,Major,100.01,0.0721,0.321,0.584,0.433,0.1533372649284153,0.0912,-14.59,0.0253,Electronic
27,DJ Snake,Let's Get Ill,65.0,260.5801009085379,G#,Major,127.992,0.123,0.009,0.704,0.989,0.0443,0.0814,-5.079,0.073,Electronic
28,Little Dragon,Brush The Heat,38.0,250.0,A,Minor,120.954,0.434,0.00936,0.726,0.703,0.114,0.113,-6.965,0.0499,Electronic
